Name,Mobile,Email,Source,Location,Interested Product,Lead Value,Created By,Assigned To,Status,Priority,Created At
"sam","+917845753321","appu234567890@gmail.com","IV","kochi","","34001","Nygil Binoy","","closed","cold","2/11/2025"
"Appu Saviyo Bro","+917890453321","appu12@gmail.com","IV","kochi","","90877","Nygil Binoy","","closed","cold","2/11/2025"
"John Does","+919087654321","johndoe@gmail.com","Naukri-Responses","BCA","","8907","Nygil Binoy","","unavailable","warm","2/11/2025"
"agent  lead1","919898989895","testing55w@gmail.com","","","","","johnson joseph","johnson joseph","closed","warm","1/11/2025"
"test","+919898989898","testing55@gmail.com","IV","not any where","","1790","Nygil Binoy","","converted","cold","1/11/2025"
"testing1s","914454545454","tesings1@gmail.com","","","","","Sub_Admin2","Sub_Admin2","closed","Not Assigned","31/10/2025"
"testing","+91910909090900","tesing1@gmail.com","Naukri-Responses","Kakkanad","","1277","Sub_Admin2","Sub_Admin2","converted","warm","31/10/2025"
"test hjk","+91916578909873","testjohnson11@gmail.com","Time Job Lead","","","123","johnson joseph","johnson joseph","open","cold","31/10/2025"
"testJohnson","919876567898","testjohnson@gmail.com","","","","","johnson joseph","Sub_Admin2","converted","hot","31/10/2025"
"test4@gmail.com","913455434567","test4@gmail.com","","","","","Nygil Binoy","johnson joseph","walkin","cold","31/10/2025"
"test3","914345678765","test3@gmail.com","Time Job Lead","","","","Nygil Binoy","Nygil Binoy","open","Not Assigned","31/10/2025"
"test2","918789098789","test2@gmail.com","Walk in","","","","Nygil Binoy","Nygil Binoy","walkin","Not Assigned","31/10/2025"
"test1","9190909090","test1@gmail.com","","kochi","","","Nygil Binoy","Nygil Binoy","rejected","Not Assigned","31/10/2025"
