Name,Mobile,Email,Source,Location,Interested Product,Lead Value,Created By,Assigned To,Status,Priority,Created At
Anay Shanker,918746317213,mamootyboase@hotmail.com,Facebook,Kochi,Mobile App,33098,Nygil Binoy,Sales2,new,cold,2025-08-15
Kiara Kakar,919181143731,batramadhav@krishnan.com,Naukri,Kochi,ERP System,56302,Admin,Sales1,new,hot,2025-09-29
Saanvi Sachar,916999270936,aliaraja@yahoo.com,Naukri,Delhi,Web Design,74563,Nygil Binoy,Sales5,closed,hot,2025-10-23
Tara Swaminathan,917929338154,rgarde@chokshi.com,Naukri,Bangalore,Web Design,21926,Appu Saviyo,Sales3,converted,hot,2025-08-15
Divit Gola,916924765563,zara07@hotmail.com,Google Ads,Kochi,Web Design,50797,Admin,Sales3,converted,cold,2025-08-18
Dhanush Majumdar,917136108454,kashvi31@gmail.com,Facebook,Hyderabad,Digital Marketing,71284,Admin,Sales4,new,cold,2025-10-09
Trisha Dhillon,917259191105,divyanshgupta@karan-ravi.com,LinkedIn,Delhi,Mobile App,76674,Nygil Binoy,Sales1,new,cold,2025-08-21
Sumer Cheema,916978815630,ramanathanmyra@gmail.com,Google Ads,Kochi,CRM,14238,Appu Saviyo,Sales3,closed,cold,2025-09-26
Ishaan Kashyap,919582477022,navya83@hotmail.com,Google Ads,Chennai,Mobile App,47566,Nygil Binoy,Sales3,new,cold,2025-09-06
Manikya Tara,918727210979,yakshit41@mander.com,Instagram,Delhi,CRM,22417,Appu Saviyo,Sales4,converted,cold,2025-08-26
Vivaan Wagle,918955633092,prerakboase@gmail.com,Naukri,Chennai,Mobile App,8331,Nygil Binoy,Sales1,converted,warm,2025-10-17
Siya Master,917149938334,ogolla@gmail.com,Facebook,Chennai,ERP System,95098,Johnson Joseph,Sales2,closed,warm,2025-09-24
Divij Shroff,919799685197,bosemishti@sule.biz,LinkedIn,Mumbai,CRM,35718,Nygil Binoy,Sales2,unavailable,cold,2025-10-02
Veer Halder,917128466620,ishita01@hotmail.com,LinkedIn,Delhi,Digital Marketing,77484,Appu Saviyo,Sales3,contacted,hot,2025-10-30
Tiya Rege,918188398760,dinadira@gmail.com,Referral,Kochi,Web Design,15371,Nygil Binoy,Sales2,closed,cold,2025-09-19
